restaurant_type,name,rating,votes
"Beverage Shop, Cafe","Tata Cha",3.70,70
"Food Court, Casual Dining",Gongura,2.60,51
"Casual Dining, Sweet Shop","Venkateshwara Sweets and Restaurant",3.60,43
"Casual Dining, Sweet Shop","Venkateshwara Sweets and Restaurant",3.60,43
"Dessert Parlor, Kiosk","Gelato Italiano",3.10,39
"Cafe, Food Court",Starbucks,3.90,38
"Cafe, Food Court",Starbucks,3.90,38
"Bakery, Food Court","Just Bake",3.00,38
"Quick Bites, Meat Shop","Venky's Xprs",3.70,37
"Food Court, Dessert Parlor","Gelato Italiano",3.70,32
"Food Court, Dessert Parlor","Gelato Italiano",3.80,32
"Food Court, Dessert Parlor","Gelato Italiano",3.80,32
Confectionery,"The Twenty Handmade Chocolates",3.80,30
Confectionery,"The Twenty Handmade Chocolates",3.80,30
"Quick Bites, Mess","Ambujam's Chettinad Mess",3.20,27
"Food Court, Beverage Shop","The Duke Of Juices",3.70,26
"Dessert Parlor, Sweet Shop","Jodhpur Sweets & Corner",3.70,22
"Quick Bites, Kiosk","Five Star Chicken",3.30,14
"Dessert Parlor, Food Court","Mr. Gola",3.70,12
"Casual Dining, Quick Bites","Fusion Panda",3.50,11
"Casual Dining, Quick Bites","Fusion Panda",3.50,11
Bhojanalya,"The Andhra Bhojanam",3.30,7
Bhojanalya,"The Andhra Bhojanam",3.30,7
"Bakery, Beverage Shop","Bake The Cake",3.20,4
"Sweet Shop, Dessert Parlor","Shree Mahalakshmi Sweets",NULL,0
"Bar, Cafe",Rasta,NULL,0
"Bakery, Kiosk","Chef Baker's",NULL,0
"Bakery, Kiosk","Chef Baker's",NULL,0
"Mess, Quick Bites","Karavali Lunch Home",NULL,0
"Bar, Cafe",Rasta,NULL,0
"Bar, Cafe",Rasta,NULL,0
"Pop Up","XO Belgian Waffle",NULL,0
"Bakery, Sweet Shop","World Of Sweets And Cakes",NULL,0
"Bakery, Kiosk","Chef Baker's",NULL,0
"Bakery, Kiosk","Chef Baker's",NULL,0
